1928 -1.69524129797209
1929 -1.64610386904536
1930 -1.59696644011864
1931 -1.54782901119191
1932 -1.49869158226518
1933 -1.44955415333845
1934 -1.40041672441173
1935 -1.351279295485
1936 -1.30214186655827
1937 -1.25300443763155
1938 -1.20386700870482
1939 -1.15472957977809
1940 -1.10559215085136
1941 -1.05645472192464
1942 -1.00731729299791
1943 -0.958179864071182
1944 -0.909042435144455
1945 -0.859905006217727
1946 -0.810767577291
1947 -0.761630148364273
1948 -0.712492719437546
1949 -0.663355290510818
1950 -0.614217861584091
1951 -0.565080432657364
1952 -0.515943003730636
1953 -0.466805574803909
1954 -0.417668145877182
1955 -0.368530716950455
1956 -0.319393288023727
1957 -0.270255859097
1958 -0.221118430170273
1959 -0.171981001243545
1960 -0.122843572316818
1961 -0.0737061433900909
1962 -0.0245687144633636
1963 0.0245687144633636
1964 0.0737061433900909
1965 0.122843572316818
1966 0.171981001243545
1967 0.221118430170273
1968 0.270255859097
1969 0.319393288023727
1970 0.368530716950455
1971 0.417668145877182
1972 0.466805574803909
1973 0.515943003730636
1974 0.565080432657364
1975 0.614217861584091
1976 0.663355290510818
1977 0.712492719437546
1978 0.761630148364273
1979 0.810767577291
1980 0.859905006217727
1981 0.909042435144455
1982 0.958179864071182
1983 1.00731729299791
1984 1.05645472192464
1985 1.10559215085136
1986 1.15472957977809
1987 1.20386700870482
1988 1.25300443763155
1989 1.30214186655827
1990 1.351279295485
1991 1.40041672441173
1992 1.44955415333845
1993 1.49869158226518
1994 1.54782901119191
1995 1.59696644011864
1996 1.64610386904536
1997 1.69524129797209
