Date, SP500 ,VIX
03/21/2012,1402.89,15.13
03/22/2012,1392.78,15.57
03/23/2012,1397.11,14.82
03/26/2012,1416.51,14.26
03/27/2012,1412.52,15.59
03/28/2012,1405.54,15.47
03/29/2012,1403.28,15.48
03/30/2012,1408.47,15.5
04/02/2012,1418.9,15.64
04/03/2012,1413.31,15.66
04/04/2012,1398.96,16.44
04/05/2012,1398.08,16.7
04/09/2012,1382.2,18.81
04/10/2012,1358.59,20.39
04/11/2012,1368.71,20.02
04/12/2012,1387.57,17.2
04/13/2012,1370.26,19.55
04/16/2012,1369.57,19.55
04/17/2012,1390.78,18.46
04/18/2012,1385.14,18.64
04/19/2012,1376.92,18.36
04/20/2012,1378.53,17.44
04/23/2012,1366.94,18.97
04/24/2012,1371.97,18.1
04/25/2012,1390.69,16.82
04/26/2012,1399.98,16.24
04/27/2012,1403.36,16.32
04/30/2012,1397.91,17.15
05/01/2012,1405.82,16.6
05/02/2012,1402.31,16.88
05/03/2012,1391.57,17.56
05/04/2012,1369.1,19.16
05/07/2012,1369.58,18.94
05/08/2012,1363.72,19.05
05/09/2012,1354.58,20.08
05/10/2012,1357.99,18.83
05/11/2012,1353.39,19.89
05/14/2012,1338.35,21.87
05/15/2012,1330.66,21.97
05/16/2012,1324.8,22.27
05/17/2012,1304.86,24.49
05/18/2012,1295.22,25.1
05/21/2012,1315.99,22.01
05/22/2012,1316.63,22.48
05/23/2012,1318.86,22.33
05/24/2012,1320.68,21.54
05/25/2012,1317.82,21.76
05/29/2012,1332.42,21.03
05/30/2012,1313.32,24.14
05/31/2012,1310.33,24.06
06/01/2012,1278.04,26.66
06/04/2012,1278.18,26.12
06/05/2012,1285.5,24.68
06/06/2012,1315.13,22.16
06/07/2012,1314.99,21.72
06/08/2012,1325.66,21.23
06/11/2012,1308.93,23.56
06/12/2012,1324.18,22.09
06/13/2012,1314.88,24.27
06/14/2012,1329.1,21.68
06/15/2012,1342.84,21.11
06/18/2012,1344.78,18.32
06/19/2012,1357.98,18.38
06/20/2012,1355.69,17.24
06/21/2012,1325.51,20.08
06/22/2012,1335.02,18.11
06/25/2012,1313.72,20.38
06/26/2012,1319.99,19.72
06/27/2012,1331.85,19.45
06/28/2012,1329.04,19.71
06/29/2012,1362.16,17.08
07/02/2012,1365.51,16.8
07/03/2012,1374.02,16.66
07/05/2012,1367.58,17.5
07/06/2012,1354.68,17.1
07/09/2012,1352.46,17.98
07/10/2012,1341.47,18.72
07/11/2012,1341.45,17.95
07/12/2012,1334.76,18.33
07/13/2012,1356.78,16.74
07/16/2012,1353.64,17.11
07/17/2012,1363.67,16.48
07/18/2012,1372.78,16.16
07/19/2012,1376.51,15.45
07/20/2012,1362.66,16.27
07/23/2012,1350.52,18.62
07/24/2012,1338.31,20.47
07/25/2012,1337.89,19.34
07/26/2012,1360.02,17.53
07/27/2012,1385.97,16.7
07/30/2012,1385.3,18.03
07/31/2012,1379.32,18.93
08/01/2012,1375.32,18.96
08/02/2012,1365,17.57
08/03/2012,1390.99,15.64
08/06/2012,1394.23,15.95
08/07/2012,1401.35,15.99
08/08/2012,1402.22,15.32
08/09/2012,1402.8,15.28
08/10/2012,1405.87,14.74
08/13/2012,1404.11,13.7
08/14/2012,1403.93,14.85
08/15/2012,1405.53,14.63
08/16/2012,1415.51,14.29
08/17/2012,1418.16,13.45
08/20/2012,1418.13,14.02
08/21/2012,1413.17,15.02
08/22/2012,1413.49,15.11
08/23/2012,1402.08,15.96
08/24/2012,1411.13,15.18
08/27/2012,1410.44,16.35
08/28/2012,1409.3,16.49
08/29/2012,1410.49,17.06
08/30/2012,1399.48,17.83
08/31/2012,1406.58,17.47
09/04/2012,1404.94,17.98
09/05/2012,1403.44,17.74
09/06/2012,1432.12,15.6
09/07/2012,1437.92,14.38
09/10/2012,1429.08,16.28
09/11/2012,1433.56,16.41
09/12/2012,1436.56,15.8
09/13/2012,1459.99,14.05
09/14/2012,1465.77,14.51
09/17/2012,1461.19,14.59
09/18/2012,1459.32,14.18
09/19/2012,1461.05,13.88
09/20/2012,1460.26,14.07
09/21/2012,1460.15,13.98
09/24/2012,1456.89,14.15
09/25/2012,1441.59,15.43
09/26/2012,1433.32,16.81
09/27/2012,1447.15,14.84
09/28/2012,1440.67,15.73
10/01/2012,1444.49,16.32
10/02/2012,1445.75,15.71
10/03/2012,1450.99,15.43
10/04/2012,1461.4,14.55
10/05/2012,1460.93,14.33
10/08/2012,1455.88,15.11
10/09/2012,1441.48,16.37
10/10/2012,1432.56,16.29
10/11/2012,1432.84,15.59
10/12/2012,1428.59,16.14
10/15/2012,1440.13,15.27
10/16/2012,1454.92,15.22
10/17/2012,1460.91,15.07
10/18/2012,1457.34,15.03
10/19/2012,1433.19,17.06
10/22/2012,1433.81,16.62
10/23/2012,1413.11,18.83
10/24/2012,1408.75,18.33
10/25/2012,1412.97,18.12
10/26/2012,1411.94,17.81
10/31/2012,1412.16,18.6
11/01/2012,1427.59,16.69
11/02/2012,1414.2,17.59
11/05/2012,1417.26,18.42
11/06/2012,1428.39,17.58
11/07/2012,1394.53,19.08
11/08/2012,1377.51,18.49
11/09/2012,1379.85,18.61
11/12/2012,1380,16.68
11/13/2012,1374.53,16.65
11/14/2012,1355.49,17.92
11/15/2012,1353.32,17.99
11/16/2012,1359.88,16.41
11/19/2012,1386.89,15.24
11/20/2012,1387.82,15.08
11/21/2012,1391.03,15.31
11/23/2012,1408.68,15.14
11/26/2012,1406.29,15.5
11/27/2012,1398.94,15.92
11/28/2012,1409.93,15.51
11/29/2012,1415.95,15.06
11/30/2012,1416.18,15.87
12/03/2012,1409.46,16.64
12/04/2012,1407.05,17.12
12/05/2012,1409.28,16.46
12/06/2012,1413.94,16.58
12/07/2012,1418.07,15.9
12/10/2012,1418.55,16.05
12/11/2012,1427.84,15.57
12/12/2012,1428.48,15.95
12/13/2012,1419.45,16.56
12/14/2012,1413.58,17
12/17/2012,1430.36,16.34
12/18/2012,1446.79,15.57
12/19/2012,1435.81,17.36
12/20/2012,1443.69,17.67
12/21/2012,1430.15,17.84
12/24/2012,1426.02,17.84
12/26/2012,1419.83,19.48
12/27/2012,1418.09,19.47
12/28/2012,1402.43,22.72
12/31/2012,1426.19,18.02
01/02/2013,1462.42,14.68
01/03/2013,1459.37,14.56
01/04/2013,1466.47,13.83
01/07/2013,1461.89,13.79
01/08/2013,1457.15,13.62
01/09/2013,1461.02,13.81
01/10/2013,1472.12,13.49
01/11/2013,1472.05,13.36
01/14/2013,1470.68,13.52
01/15/2013,1472.34,13.55
01/16/2013,1472.63,13.42
01/17/2013,1480.94,13.57
01/18/2013,1485.98,12.46
01/22/2013,1492.51,12.43
01/23/2013,1494.78,12.46
01/24/2013,1494.82,12.69
01/25/2013,1502.96,12.89
01/28/2013,1500.18,13.57
01/29/2013,1507.84,13.31
01/30/2013,1501.96,14.32
01/31/2013,1498.11,14.28
02/01/2013,1513.17,12.9
02/04/2013,1495.71,14.67
02/05/2013,1511.29,13.72
02/06/2013,1512.12,13.41
02/07/2013,1509.39,13.5
02/08/2013,1517.93,13.02
02/11/2013,1517.01,12.94
02/12/2013,1519.43,12.64
02/13/2013,1520.33,12.98
02/14/2013,1521.38,12.66
02/15/2013,1519.79,12.46
02/19/2013,1530.94,12.31
02/20/2013,1511.95,14.68
02/21/2013,1502.42,15.22
02/22/2013,1515.6,14.17
02/25/2013,1487.85,18.99
02/26/2013,1496.94,16.87
02/27/2013,1515.99,14.73
02/28/2013,1514.68,15.51
03/01/2013,1518.2,15.36
03/04/2013,1525.2,14.01
03/05/2013,1539.79,13.48
03/06/2013,1541.46,13.53
03/07/2013,1544.26,13.06
03/08/2013,1551.18,12.59
03/11/2013,1556.22,11.56
03/12/2013,1552.48,12.27
03/13/2013,1554.52,11.83
03/14/2013,1563.23,11.3
03/15/2013,1560.7,11.3
03/18/2013,1552.1,13.36
03/19/2013,1548.34,14.39
03/20/2013,1558.71,12.67
03/21/2013,1545.8,13.99
03/22/2013,1556.89,13.57
03/25/2013,1551.69,13.74
03/26/2013,1563.77,12.77
03/27/2013,1562.85,13.15
03/28/2013,1569.19,12.7
04/01/2013,1562.17,13.58
04/02/2013,1570.25,12.78
04/03/2013,1553.69,14.21
04/04/2013,1559.98,13.89
04/05/2013,1553.28,13.92
04/08/2013,1563.07,13.19
04/09/2013,1568.61,12.84
04/10/2013,1587.73,12.36
04/11/2013,1593.37,12.24
04/12/2013,1588.85,12.06
04/15/2013,1552.36,17.27
04/16/2013,1574.57,13.96
04/17/2013,1552.01,16.51
04/18/2013,1541.61,17.56
04/19/2013,1555.25,14.97
04/22/2013,1562.5,14.39
04/23/2013,1578.78,13.48
04/24/2013,1578.79,13.61
04/25/2013,1585.16,13.62
04/26/2013,1582.24,13.61
04/29/2013,1593.61,13.71
04/30/2013,1597.57,13.52
05/01/2013,1582.7,14.49
05/02/2013,1597.59,13.59
05/03/2013,1614.42,12.85
05/06/2013,1617.5,12.66
05/07/2013,1625.96,12.83
05/08/2013,1632.69,12.66
05/09/2013,1626.67,13.13
05/10/2013,1633.7,12.59
05/13/2013,1633.77,12.55
05/14/2013,1650.34,12.77
05/15/2013,1658.78,12.81
05/16/2013,1650.47,13.07
05/17/2013,1666.12,12.45
05/20/2013,1666.29,13.02
05/21/2013,1669.16,13.37
05/22/2013,1655.35,13.82
05/23/2013,1650.51,14.07
05/24/2013,1649.6,13.99
05/28/2013,1660.06,14.48
05/29/2013,1648.36,14.83
05/30/2013,1654.41,14.53
05/31/2013,1630.74,16.3
06/03/2013,1640.42,16.28
06/04/2013,1631.38,16.27
06/05/2013,1608.9,17.5
06/06/2013,1622.56,16.63
06/07/2013,1643.38,15.14
06/10/2013,1642.81,15.44
06/11/2013,1626.13,17.07
06/12/2013,1612.52,18.59
06/13/2013,1636.36,16.41
06/14/2013,1626.73,17.15
06/17/2013,1639.04,16.8
06/18/2013,1651.81,16.61
06/19/2013,1628.93,16.64
06/20/2013,1588.19,20.49
06/21/2013,1592.43,18.9
06/24/2013,1573.09,20.11
06/25/2013,1588.03,18.47
06/26/2013,1603.26,17.21
06/27/2013,1613.2,16.86
06/28/2013,1606.28,16.86
07/01/2013,1614.96,16.37
07/02/2013,1614.08,16.44
07/03/2013,1615.34,16.2
07/05/2013,1631.89,14.89
07/08/2013,1640.46,14.78
07/09/2013,1652.32,14.35
07/10/2013,1652.62,14.21
07/11/2013,1675.02,14.01
07/12/2013,1680.19,13.84
07/15/2013,1682.5,13.79
07/16/2013,1676.26,14.42
07/17/2013,1680.91,13.78
07/18/2013,1689.37,13.77
07/19/2013,1692.09,12.54
07/22/2013,1695.53,12.29
07/23/2013,1692.39,12.66
07/24/2013,1685.94,13.18
07/25/2013,1690.25,12.97
07/26/2013,1691.65,12.72
07/29/2013,1685.33,13.39
07/30/2013,1685.96,13.39
07/31/2013,1685.73,13.45
08/01/2013,1706.87,12.94
08/02/2013,1709.67,11.98
08/05/2013,1707.14,11.84
08/06/2013,1697.37,12.72
08/07/2013,1690.91,12.98
08/08/2013,1697.48,12.73
08/09/2013,1691.42,13.41
08/12/2013,1689.47,12.81
08/13/2013,1694.16,12.31
08/14/2013,1685.39,13.04
08/15/2013,1661.32,14.73
08/16/2013,1655.83,14.37
08/19/2013,1646.06,15.1
08/20/2013,1652.35,14.91
08/21/2013,1642.8,15.94
08/22/2013,1656.96,14.76
08/23/2013,1663.5,13.98
08/26/2013,1656.78,14.99
08/27/2013,1630.48,16.77
08/28/2013,1634.96,16.49
08/29/2013,1638.17,16.81
08/30/2013,1632.97,17.01
09/03/2013,1639.77,16.61
09/04/2013,1653.08,15.88
09/05/2013,1655.08,15.77
09/06/2013,1655.17,15.85
09/09/2013,1671.71,15.63
09/10/2013,1683.99,14.53
09/11/2013,1689.13,13.82
09/12/2013,1683.42,14.29
09/13/2013,1687.99,14.16
09/16/2013,1697.6,14.38
09/17/2013,1704.76,14.53
09/18/2013,1725.52,13.59
09/19/2013,1722.34,13.16
09/20/2013,1709.91,13.12
09/23/2013,1701.84,14.31
09/24/2013,1697.42,14.08
09/25/2013,1692.77,14.01
09/26/2013,1698.67,14.06
09/27/2013,1691.75,15.46
09/30/2013,1681.55,16.6
10/01/2013,1695,15.54
10/02/2013,1693.87,16.6
10/03/2013,1678.66,17.67
10/04/2013,1690.5,16.74
10/07/2013,1676.12,19.41
10/08/2013,1655.45,20.34
10/09/2013,1656.4,19.6
10/10/2013,1692.56,16.48
10/11/2013,1703.2,15.72
10/14/2013,1710.14,16.07
10/15/2013,1698.06,18.66
10/16/2013,1721.54,14.71
10/17/2013,1733.15,13.48
10/18/2013,1744.5,13.04
10/21/2013,1744.66,13.16
10/22/2013,1754.67,13.33
10/23/2013,1746.38,13.42
10/24/2013,1752.07,13.2
10/25/2013,1759.77,13.09
10/28/2013,1762.11,13.31
10/29/2013,1771.95,13.41
10/30/2013,1763.31,13.65
10/31/2013,1756.54,13.75
11/01/2013,1761.64,13.28
11/04/2013,1767.93,12.93
11/05/2013,1762.97,13.27
11/06/2013,1770.49,12.67
11/07/2013,1747.15,13.91
11/08/2013,1770.61,12.9
11/11/2013,1771.89,12.53
11/12/2013,1767.69,12.82
11/13/2013,1782,12.52
11/14/2013,1790.62,12.37
11/15/2013,1798.18,12.19
11/18/2013,1791.53,13.1
11/19/2013,1787.87,13.39
11/20/2013,1781.37,13.4
11/21/2013,1795.85,12.66
11/22/2013,1804.76,12.26
11/25/2013,1802.48,12.79
11/26/2013,1802.75,12.81
11/27/2013,1807.23,12.98
11/29/2013,1806.89,13.7
12/02/2013,1800.9,14.23
12/03/2013,1795.15,14.55
12/04/2013,1792.81,14.7
12/05/2013,1785.03,15.08
12/06/2013,1805.09,13.79
12/09/2013,1808.37,13.49
12/10/2013,1802.62,13.91
12/11/2013,1782.22,15.42
12/12/2013,1775.5,15.54
12/13/2013,1775.32,15.76
12/16/2013,1786.54,16.03
12/17/2013,1781,16.21
12/18/2013,1810.65,13.8
12/19/2013,1809.6,14.15
12/20/2013,1818.31,13.79
12/23/2013,1827.99,13.04
12/24/2013,1833.27,12.48
12/26/2013,1842.02,12.33
12/27/2013,1841.4,12.46
12/30/2013,1841.07,13.56
12/31/2013,1848.36,13.72
