"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197" "V198" "V199" "V200"
"1" -4.45363700989191 -4.44445201140087 -4.44036992243311 -4.3515703102288 -4.45801467082831 -4.47101629470176 -4.49382002916455 -4.56147859966581 -4.65836205881254 -4.58785519129088 -4.48717267407 -4.48587239121216 -4.53682782837335 -4.61297489988156 -4.64762441862578 -4.49770917322437 -4.5368368187759 -4.54881711804887 -4.53644606867624 -4.5731376667625 -4.68856648643086 -4.65663660329749 -4.79169891941502 -4.74796649716017 -4.81678199788288 -4.85694064982004 -4.90370845134428 -4.90671298768034 -4.91064849892832 -4.96225280018139 -5.07264609673076 -5.06278270720131 -5.15923073780966 -5.15835751986138 -5.15140960303926 -5.20754475255737 -5.1683649163547 -5.05110885595198 -5.18624304293855 -5.16581779265698 -5.16679964792362 -4.98601488033486 -4.8331245786357 -4.86620264458392 -4.69536605012487 -4.79374855867917 -4.87560851496619 -4.84151436044456 -4.91991624255758 -4.84286700095201 -4.75638927536661 -4.93003552775135 -4.86344518355104 -4.83316992787579 -4.85336473275884 -4.88792144559397 -4.77804283936035 -4.75020438606089 -4.84180766142528 -4.89483145168814 -4.96375310017697 -4.92624930534221 -5.02531311068512 -5.11797727783028 -4.97311213722789 -4.88707421156599 -4.97453766589511 -4.99294284945618 -4.97967666517062 -4.96065906159746 -4.85098093563205 -4.93167978839876 -4.88617256787689 -4.86007658391908 -4.81787288887739 -4.84910194231141 -4.81974696526414 -4.7278475685514 -4.60316095565507 -4.63926313331564 -4.6331953666649 -4.6492421169643 -4.55238409255231 -4.58778546188118 -4.63346854816005 -4.58222721064603 -4.57653206982235 -4.6827476121372 -4.71718684596781 -4.70658944872928 -4.80111139973954 -4.78458659724658 -4.89082867776559 -4.76307674813729 -4.66700634446845 -4.688182793475 -4.7161680360345 -4.64819854356602 -4.81093828017242 -4.82163276871498 -4.85692344580595 -4.77924542151884 -4.86322887532896 -4.93252885893057 -4.83681569062795 -4.80876522195675 -4.88127438072211 -4.75331363945636 -4.80341818131281 -4.94809467231257 -4.99545680259657 -4.83072733098639 -4.82753829858949 -4.74604413464409 -4.86488405695593 -4.95323839254418 -5.00306987751754 -5.04864035915754 -4.9818999924278 -4.9379226124062 -4.85764702886873 -4.81376128760602 -4.87339010801553 -4.87768906245747 -4.89513342239429 -4.9549317145629 -4.92659736646764 -4.7752311916297 -4.8013309496521 -4.88982750335604 -4.8710932407211 -4.91678221996298 -4.84958451020737 -4.86572458503793 -4.70529677649861 -4.67218382591662 -4.71981916438852 -4.68979979814535 -4.63359943561768 -4.56833009547144 -4.54913636700929 -4.53087163707662 -4.48060326731957 -4.50664717719684 -4.51518977846848 -4.53453811084744 -4.64499823364598 -4.64083227111944 -4.66569498621306 -4.6848111130437 -4.69267526334935 -4.80060691404524 -4.80375601422398 -4.8286848170049 -4.82647493589694 -4.92122546072739 -5.0049116957553 -5.05192292124819 -5.06882784988673 -5.05175190362198 -5.05249082662606 -5.10238363341297 -5.17293665345945 -5.08271937873606 -5.08058334602364 -5.14699677294581 -5.08384439272057 -5.24033699910551 -5.21978382789696 -5.25180790654398 -5.17495527272425 -5.01985169579023 -4.96835230873077 -4.89878847240191 -4.82113956374579 -4.75049295575891 -4.70230903709409 -4.76594990836049 -4.62378270830766 -4.59011987886698 -4.54233144941723 -4.50115877984533 -4.56885017208417 -4.57366948616657 -4.6292602566296 -4.65840083501063 -4.50665825657813 -4.51171673727255 -4.58664821759461 -4.67298467223456 -4.59176587556652 -4.60843758959566 -4.60378606820037 -4.61138909386482 -4.63090358473518 -4.66707538247592 -4.77160884884787 -4.83573377723375 -4.87428215811838 -4.78298567941825
"2" -2.47312563798511 -2.54298333062444 -2.56727177948635 -2.62962869311787 -2.67918691272192 -2.70468847435588 -2.74975504616459 -2.80758008656641 -2.84739007209309 -2.81723908669421 -2.89348245036901 -2.97983116021142 -3.05447351290021 -3.08948890318131 -3.13796845239224 -3.23103451229549 -3.23572899241695 -3.27273731697332 -3.39269337976152 -3.45024677661642 -3.51118263219238 -3.51929081271154 -3.54652340787779 -3.5502357212707 -3.62856732834352 -3.6508824272159 -3.69464865714132 -3.67618215652073 -3.65054626969834 -3.66680009573913 -3.69097218417618 -3.75219553044682 -3.81774329464435 -3.90462916473853 -3.92822668878466 -3.90633460813208 -3.95466506630816 -3.81594437465456 -3.8801850395895 -3.9062977444318 -3.88338213198273 -3.86826957212348 -3.88147853777568 -3.88796824460134 -3.85491015894217 -3.85459799427641 -3.90912961113163 -3.89053567926472 -3.85776040173435 -3.92136107716369 -3.8607206695068 -4.02351585250516 -4.01933365667006 -4.08380283083204 -4.13049769461982 -4.1987887727908 -4.17397408048973 -4.17941270654751 -4.23425496905443 -4.2851770193516 -4.44202869875225 -4.36790667794702 -4.31097221104243 -4.31282740726382 -4.39069137809105 -4.53656128865589 -4.51242583888386 -4.62623164430768 -4.65435505562585 -4.65542864333765 -4.6514713925147 -4.51840232610783 -4.51435212472381 -4.47497947472439 -4.33518162321991 -4.38913303114775 -4.37430550964364 -4.37019091529752 -4.3513766206376 -4.34241308158914 -4.29091665478366 -4.38282792382441 -4.3967717998317 -4.39244913687975 -4.2857693396993 -4.30381920256884 -4.3058717028414 -4.40487647071561 -4.46325710073128 -4.40207970200314 -4.43672662049883 -4.44028388098561 -4.4744555264173 -4.41641304396251 -4.37374184414735 -4.37682478820753 -4.39499938399107 -4.41339471117197 -4.51494933409078 -4.54196380451374 -4.59915191955724 -4.60630166306212 -4.63827233074956 -4.59300091764338 -4.60253299428923 -4.62609037809731 -4.68705335293505 -4.63075995166576 -4.72067803227809 -4.84799635770717 -4.80887235883383 -4.89586028161292 -4.89169306597097 -4.943196249338 -4.97395693447834 -4.90579773600373 -5.00968674697053 -4.91149338409609 -4.8838761221472 -4.98350567498142 -4.90565962617065 -4.82898218796586 -4.90278662481482 -4.76605237398954 -4.73901648652583 -4.93379612568831 -4.93265452618876 -4.84367998554235 -4.96807008097961 -4.98127541309158 -5.11674834932483 -5.09870936945227 -5.04855483631165 -5.03417606423973 -4.86211856836414 -4.95694691152026 -5.00760617954017 -4.9375151431667 -4.84433030579907 -4.88895103309833 -4.88259525757227 -4.7767291937001 -4.68979762538094 -4.63533476009662 -4.66467101341337 -4.6989946491731 -4.73946585484014 -4.65329299375423 -4.74354204038077 -4.72271833865817 -4.70564808799439 -4.69769632791827 -4.63863065609783 -4.63224133349136 -4.71109253327663 -4.72733328321812 -4.73113309790833 -4.73903140923281 -4.84058472551614 -4.9488949895625 -5.03320214921411 -4.97185089864058 -4.90893296902715 -5.02975979589267 -5.00691669020248 -4.84833408397541 -4.92806956009712 -4.97417673621841 -5.0294875689996 -5.12600233513212 -5.07266310338087 -5.1279556870333 -5.09048496631562 -5.05330686172189 -5.02003112779934 -5.021586563912 -4.91130421759591 -4.91323688944185 -4.82263325559661 -4.85855728236809 -4.84171497866302 -4.84799735241284 -4.86963833397569 -4.8070043040839 -4.87929029881289 -4.9031475570452 -4.78939488107433 -4.76901512492674 -4.80289855135089 -4.73384523133814 -4.88210797339766 -4.95873199050969 -4.89869797636422 -4.89302844334371 -4.95390751182641 -4.96688918487121 -4.99245482480416 -4.96259033012952 -4.93922561398471 -4.84584397671789
"3" -4.01101734853154 -4.11588459454339 -4.17139058254122 -4.22082428960296 -4.21595927824942 -4.14817850980961 -4.17412326872967 -4.18363179127111 -4.14761566114708 -4.20552390414387 -4.26061913054524 -4.22777980353655 -4.26522750385585 -4.34860203204506 -4.37865237322525 -4.40530800782422 -4.50985942683365 -4.52773147043159 -4.49091911854014 -4.45626589111803 -4.53300461625346 -4.55443544425245 -4.65876634731416 -4.68434661723608 -4.74303921238442 -4.69178008433039 -4.76924620802913 -4.7383072975273 -4.76031030244014 -4.80557922740836 -4.73515285689489 -4.74514767596206 -4.74347100615457 -4.84613354265792 -4.90782853792878 -4.92317172063058 -5.02421956350496 -4.9998449347579 -5.02930372766541 -4.89350947754349 -4.8865362506199 -4.85364923759485 -4.7531108962363 -4.70243553297984 -4.5310741668252 -4.51178779214045 -4.65717805973183 -4.75304243070232 -4.64765779313472 -4.74449015030105 -4.8529269888465 -4.89127690549627 -4.9065060139175 -5.0103005551691 -4.9672255177303 -4.93880208451363 -4.97488222561938 -4.96317418203743 -4.93092357194685 -4.86121641859603 -4.90231111910326 -4.85359324891049 -4.87441591795382 -4.76516564658829 -4.74599552459423 -4.64181556153849 -4.56735638696264 -4.64282619079702 -4.65780762445257 -4.59903873780369 -4.59109573484573 -4.62259651701953 -4.60389725053377 -4.48604329868753 -4.45556590248896 -4.43058164316107 -4.46004501997701 -4.47686292707826 -4.47617187243404 -4.47513150932933 -4.53484492958131 -4.61729185287072 -4.73386894915558 -4.7266206909112 -4.72695588700001 -4.69211157091891 -4.65969482310767 -4.69713769704637 -4.73013341621594 -4.73385270027342 -4.80591112553711 -4.87541563231405 -4.87223043643888 -4.80525824657858 -4.79906729537579 -4.88275679742234 -4.89692805030216 -4.87759165161648 -4.90903834691836 -4.85237107954983 -4.81928504509638 -4.82914860286136 -4.86216065273997 -4.88094750972324 -4.92503850012167 -4.86250295581159 -4.96037579989207 -4.97285666747602 -4.94250866051618 -5.05487940019172 -5.07028615470437 -5.08522965375489 -5.21335140954137 -5.37254010015827 -5.42545939908963 -5.45432426699645 -5.38158873654402 -5.21514877590091 -5.04568569573779 -5.06136814598276 -5.10957986447245 -4.92944550433396 -4.86374629066642 -4.84760625626435 -4.86602059661646 -4.90238284879841 -4.98399416392588 -4.91101183961886 -4.78009884378279 -4.74330155407671 -4.81195384831107 -4.80283133001496 -4.66214007463168 -4.79293588957882 -4.8347372307199 -4.80111378018296 -4.78574553357585 -4.6460608140156 -4.5677750383232 -4.60578052967454 -4.62173229868845 -4.55111207577407 -4.49684583077842 -4.53609003072408 -4.53169820554781 -4.49690756484263 -4.48581247909368 -4.42615579161513 -4.42685224995127 -4.43504095481498 -4.35999749819559 -4.31208592307247 -4.27711887082674 -4.29461814796356 -4.37248053811077 -4.44176149040487 -4.36919697838897 -4.29517040922199 -4.27291150645174 -4.3113376225984 -4.38025829323509 -4.30383202649533 -4.37290398669475 -4.36441512587494 -4.39827498963773 -4.50048786959511 -4.53176377743359 -4.44675696128405 -4.42171449025548 -4.44108433782046 -4.54854867295446 -4.61190669727734 -4.63664179458642 -4.50114052686013 -4.51218211973914 -4.58850631597943 -4.62351155941043 -4.65830046698362 -4.57042750852226 -4.65273622866583 -4.67679280298337 -4.71383801707301 -4.73639248128552 -4.77129131867952 -4.76943229584316 -4.82554900660874 -4.83812614947707 -4.98050628718215 -5.05676903266848 -5.1296005459738 -5.08222463854541 -5.03225587833107 -5.00182678065768 -5.14076789789844 -5.08238579347893 -4.95115044479537 -4.99088393850151 -4.95600688642767 -4.93039106211037 -4.91398930622418
